Age,Gender,Stream,ssc_p,hsc_p,Hostel,HistoryOfBacklogs,Internships,CGPA,PlacedOrNot
22,Female,Information Technology,73,57,0,0,0,6,1
22,Male,Electrical,61,72,0,0,1,8,1
21,Female,Computer Science,70.29,61,1,0,0,6,0
21,Male,Computer Science,67,78,0,0,1,6,1
21,Male,Computer Science,83.83,63,0,0,0,8,1
21,Male,Mechanical,64.8,64,0,1,0,7,1
21,Male,Computer Science,62,50,0,0,2,8,1
22,Male,Civil,70.4,90,1,0,0,8,1
21,Male,Mechanical,80,82,1,0,1,6,0
22,Male,Computer Science,90.9,63,0,0,0,8,1
21,Male,Computer Science,62,70,0,0,1,8,1
21,Male,Electronics And Communication,62,54,0,0,0,6,0
22,Male,Electronics And Communication,63,61,1,1,1,6,0
22,Male,Information Technology,67,79,0,0,0,8,1
21,Male,Computer Science,79,68,0,0,1,6,0
22,Female,Electrical,63,63,0,0,0,6,1
22,Male,Electronics And Communication,89.83,72.8,0,0,0,7,0
21,Male,Information Technology,63,75,0,0,0,8,1
22,Male,Mechanical,51,80,1,1,0,8,1
22,Male,Mechanical,62,68.4,1,1,0,7,0
21,Male,Electronics And Communication,62.83,40,0,0,0,8,1
21,Male,Information Technology,72,67,0,0,1,6,0
22,Female,Computer Science,64,66.8,1,0,2,7,1
22,Male,Electronics And Communication,65.5,59,0,0,0,7,0
21,Male,Electronics And Communication,47,71,0,1,1,7,1
22,Male,Information Technology,77.6,73,0,0,0,8,1
21,Male,Information Technology,70.2,61,0,0,0,8,1
22,Female,Electrical,61,60,0,1,1,8,1
22,Male,Information Technology,61.4,73.4,0,0,1,6,1
22,Male,Mechanical,63,89.7,1,1,0,8,1
21,Male,Mechanical,55,65,1,0,0,6,1
21,Male,Electronics And Communication,76,57,0,0,1,8,1
21,Male,Civil,63,68,0,0,0,7,0
22,Female,Computer Science,53,64,1,0,1,8,1
22,Female,Information Technology,70,92,0,0,1,7,1
21,Male,Mechanical,65,56,1,0,1,6,0
21,Male,Mechanical,60,59,1,0,0,7,1
21,Male,Electronics And Communication,63,63,0,0,0,8,1
22,Male,Computer Science,63,64,0,0,0,6,1
22,Male,Electrical,61.33,70,0,1,0,6,0
21,Male,Information Technology,73,64.8,0,0,2,8,1
22,Male,Electrical,62,64,0,0,0,8,1
21,Male,Electronics And Communication,42,60,0,0,1,7,0
22,Male,Mechanical,78,64.89,1,0,0,7,1
22,Male,Electronics And Communication,60,50,0,0,0,7,0
21,Male,Computer Science,72,65.66,0,0,1,8,1
22,Male,Electronics And Communication,82,63,0,0,0,8,1
21,Male,Computer Science,60,74,0,1,0,8,1
21,Male,Information Technology,67,86,0,1,1,7,0
22,Male,Electronics And Communication,66,58,0,0,0,7,0
22,Male,Computer Science,58,58.66,0,0,1,6,0
21,Male,Computer Science,78,65,0,1,0,8,1
21,Female,Electrical,91,60.5,0,0,0,6,0
21,Male,Information Technology,78.33,59,0,0,0,6,0
22,Male,Computer Science,68,63,0,0,2,8,1
21,Female,Computer Science,52,74.66,1,0,1,7,0
22,Male,Information Technology,73.6,69.4,0,0,0,6,0
22,Male,Information Technology,49.8,62.5,0,0,0,6,0
22,Male,Civil,49.2,63,1,0,1,6,0
22,Male,Mechanical,64,49,0,0,0,7,0
21,Male,Mechanical,79,74,1,0,0,8,1
21,Female,Information Technology,70,51,0,0,0,6,0
21,Male,Mechanical,61,87.6,1,1,1,6,0
22,Male,Computer Science,68.4,67,0,1,0,7,0
21,Male,Computer Science,55,72.5,0,0,0,7,0
22,Male,Information Technology,87,78.33,0,0,0,8,1
21,Male,Computer Science,47,62,0,0,0,6,0
21,Male,Information Technology,75,62,1,0,1,6,0
22,Female,Electronics And Communication,66.2,51,0,1,1,6,0
21,Male,Information Technology,67,42.16,0,0,0,6,0
21,Male,Computer Science,66,67.2,0,0,1,8,1
22,Male,Mechanical,67,80,1,0,1,6,0
22,Female,Electronics And Communication,65,58,0,0,0,7,0
22,Female,Information Technology,76,52,0,1,0,7,0
22,Male,Civil,60.8,50.83,0,0,0,6,0
22,Male,Mechanical,60,62,1,0,0,8,1
21,Male,Electronics And Communication,97.7,60,0,0,0,8,1
22,Male,Computer Science,54.6,97,0,0,1,6,0
21,Male,Mechanical,79,56,1,0,0,6,0
21,Male,Information Technology,67,64,0,0,1,8,1
21,Male,Electronics And Communication,76.5,71.5,1,1,1,8,1
21,Male,Electronics And Communication,67,60.33,0,0,2,8,1
21,Female,Electronics And Communication,73.5,65,0,0,2,7,1
21,Male,Information Technology,53,77,0,1,0,6,0
22,Male,Electrical,81,62.83,0,0,0,6,0
22,Male,Mechanical,65,72,0,0,1,6,0
21,Male,Electronics And Communication,51,64,0,1,1,6,0
21,Female,Information Technology,78,65.5,1,0,1,5,0
21,Female,Computer Science,44,47,1,1,0,6,0
22,Male,Information Technology,76,77.6,0,0,1,5,0
21,Male,Mechanical,58,70.2,1,1,1,5,0
21,Male,Information Technology,68,61,1,0,2,6,1
21,Male,Computer Science,77,61.4,0,1,2,5,0
22,Male,Electrical,63.16,63,0,0,0,5,0
21,Male,Information Technology,39,55,0,1,0,5,0
22,Male,Electronics And Communication,87,76,0,1,2,7,0
21,Male,Electrical,73,63,0,1,0,7,0
21,Male,Electronics And Communication,64,53,1,1,1,6,0
22,Male,Computer Science,71.98,70,0,0,1,6,0
22,Male,Mechanical,60,65,1,0,0,6,0
22,Male,Computer Science,62,60,0,0,2,6,1
21,Male,Electrical,37,63,0,0,0,6,0
22,Male,Civil,73.2,63,1,0,0,6,0
22,Male,Information Technology,61.12,61.33,0,0,0,7,0
21,Male,Computer Science,45.83,73,0,1,0,6,0
22,Male,Electrical,70,62,0,1,2,6,0
22,Male,Computer Science,60,42,0,0,1,6,0
21,Male,Computer Science,66.6,78,0,0,1,7,0
22,Male,Mechanical,71.4,60,1,0,0,8,1
21,Male,Electrical,76,72,0,0,3,7,1
22,Male,Mechanical,62,82,1,1,0,8,1
21,Male,Electrical,65.58,60,0,0,0,6,0
21,Female,Computer Science,70,67,1,0,0,8,1
21,Male,Computer Science,73.4,66,0,0,0,7,0
21,Female,Electrical,64.2,58,0,0,1,6,0
22,Female,Civil,70,91,0,0,1,8,1
21,Male,Civil,73,78.33,0,0,0,8,1
21,Male,Information Technology,47,68,0,0,1,6,0
21,Male,Computer Science,74,52,0,0,1,6,0
21,Male,Mechanical,78.5,73.6,1,1,0,6,0
21,Male,Civil,47,49.8,0,0,0,7,0
21,Female,Information Technology,73,49.2,1,0,1,8,1
22,Male,Civil,61,64,0,0,0,8,1
22,Male,Computer Science,70.29,79,0,1,0,7,0
21,Male,Electrical,67,70,0,0,0,6,0
21,Male,Electrical,83.83,61,0,1,1,6,0
22,Male,Electronics And Communication,64.8,68.4,0,1,1,8,1
21,Male,Computer Science,62,55,0,1,0,7,0
21,Male,Computer Science,70.4,87,0,1,0,7,0
21,Male,Civil,80,47,0,1,1,8,1
22,Male,Information Technology,90.9,75,0,0,0,8,1
21,Male,Electronics And Communication,62,66.2,0,0,0,6,0
28,Male,Civil,62,67,1,0,0,8,1
21,Male,Computer Science,63,66,0,0,2,7,1
22,Male,Electronics And Communication,67,67,0,0,2,6,1
21,Male,Information Technology,79,65,1,0,1,8,1
22,Male,Mechanical,63,76,1,0,0,6,1
21,Male,Mechanical,89.83,60.8,1,0,0,8,1
21,Male,Information Technology,63,60,0,0,1,6,0
22,Female,Mechanical,51,97.7,1,0,1,7,0
22,Male,Electronics And Communication,62,54.6,0,0,0,8,1
21,Male,Electrical,67,79,0,0,0,6,0
21,Male,Mechanical,79.33,67,1,0,0,6,1
22,Male,Mechanical,65,76.5,1,0,0,7,0
22,Male,Electronics And Communication,56,67,1,1,1,6,0
22,Male,Computer Science,85.8,73.5,0,1,0,7,1
21,Male,Computer Science,55,53,0,0,0,7,1
22,Male,Computer Science,46,81,0,1,0,8,1
22,Male,Information Technology,82,65,1,0,1,6,0
21,Male,Electronics And Communication,73,51,0,0,0,6,0
22,Male,Computer Science,58,78,0,0,0,6,1
21,Male,Civil,58,44,0,0,0,6,1
22,Female,Information Technology,69.6,76,0,0,1,8,1
21,Male,Information Technology,47,58,0,0,1,8,1
21,Male,Mechanical,77,68,1,0,0,8,1
22,Male,Civil,62,77,0,0,0,6,0
22,Male,Electrical,65,63.16,0,1,0,7,0
21,Male,Information Technology,63,39,0,1,1,6,1
21,Male,Mechanical,55,87,1,0,1,6,0
22,Male,Mechanical,63,73,1,1,0,6,1
22,Female,Information Technology,60,64,0,0,0,7,1
22,Male,Information Technology,62,71.98,0,0,2,7,0
21,Male,Computer Science,79,60,0,0,3,8,1
22,Male,Computer Science,69.8,62,0,0,0,6,1
21,Male,Computer Science,77.4,37,0,1,0,8,1
21,Female,Information Technology,76.5,73.2,0,1,1,8,1
21,Female,Computer Science,52.58,61.12,1,1,0,8,1
22,Male,Information Technology,71,45.83,0,0,1,6,1
21,Male,Electronics And Communication,63,70,0,1,0,8,1
22,Female,Mechanical,76.76,60,1,0,1,7,0
21,Male,Information Technology,62,66.6,1,0,1,8,1
22,Male,Electrical,64,71.4,0,0,0,6,0
22,Male,Mechanical,67,76,1,0,0,7,0
22,Male,Civil,61,62,1,0,0,6,0
22,Male,Information Technology,87,65.58,0,1,0,6,1
22,Male,Electronics And Communication,62,70,0,0,1,7,0
21,Male,Information Technology,69,73.4,0,0,1,8,1
22,Male,Electrical,51,64.2,0,0,1,7,0
22,Male,Mechanical,79,70,1,0,0,6,1
21,Male,Civil,73,73,1,0,2,6,1
22,Male,Electronics And Communication,81,47,0,0,0,6,1
21,Male,Computer Science,78,74,0,0,0,7,1
22,Male,Mechanical,74,78.5,1,1,0,7,0
22,Male,Mechanical,49,47,1,0,2,7,1
22,Male,Mechanical,87,73,1,0,0,7,1
21,Male,Computer Science,77,61,0,0,0,7,0
22,Male,Computer Science,76,70.29,0,0,1,7,1
21,Male,Electrical,70.89,67,0,0,0,6,1
22,Male,Civil,63,83.83,0,0,0,6,0
21,Male,Information Technology,63,64.8,1,0,3,8,1
22,Female,Electronics And Communication,50,62,1,1,3,8,1
21,Male,Information Technology,75.2,70.4,0,1,0,7,1
21,Male,Computer Science,54.4,80,0,0,1,8,1
21,Male,Information Technology,40.89,90.9,0,0,0,7,0
21,Male,Mechanical,80,62,1,0,2,6,1
22,Male,Mechanical,74,62,1,0,0,8,1
21,Female,Computer Science,60.4,63,1,0,1,8,1
22,Male,Electrical,63,67,0,1,0,8,1
21,Male,Civil,68,79,0,0,1,8,1
22,Female,Computer Science,74,63,1,0,1,7,0
21,Male,Electrical,52.6,89.83,0,0,0,7,0
21,Female,Information Technology,74,63,0,0,0,7,0
21,Female,Computer Science,84.2,51,1,0,1,8,1
21,Male,Computer Science,86.5,62,0,0,1,8,1
21,Male,Electronics And Communication,61,75,0,0,1,6,0
22,Male,Mechanical,80,90,1,0,0,8,1
22,Male,Electronics And Communication,54,57,0,0,1,8,1
21,Male,Computer Science,83,69,0,0,1,6,0
21,Male,Civil,80.92,62,0,0,0,7,0
22,Male,Electronics And Communication,69.7,62,0,1,1,7,0
22,Male,Electrical,73,78,0,0,1,7,0
22,Male,Electrical,82,70,0,0,0,8,1
21,Male,Information Technology,75,62.5,0,0,1,8,1
22,Male,Mechanical,84.86,73,1,0,2,7,0
